est_name,address,city,state,zip,phone,license_number,issued,expires,az,reg,fl,total,alzheimer,adult_day,county,full_address
Anchor of Marion (The),1501 Sandbar Drive,Marion,nan,62959,6189641205,5105181,2019 Jan 04 12:00:00 AM,2019 Dec 28 12:00:00 AM,26.0,13.0,,39,True,False,Williamson,"1501 Sandbar Drive, Marion, IL"
"Angel Acres, Inc.",8380 Worleys Mill Rd,Marion,IL,62959,6189988570,5200453,2019 Feb 16 12:00:00 AM,2020 Feb 16 12:00:00 AM,,14.0,,14,False,False,Williamson,"8380 Worleys Mill Rd, Marion, IL"
Apostolic Christian Skylines,7023 N. E. Skyline Dr,Peoria,IL,61614,3096918091,5104499,2018 May 25 12:00:00 AM,2019 Aug 16 12:00:00 AM,,21.0,16.0,37,False,False,Peoria,"7023 N. E. Skyline Dr, Peoria, IL"
Arbor Rose of Arcola,106 East 2nd South Street,Arcola,nan,61910,2175181105,5201519,2018 Aug 07 12:00:00 AM,2020 Aug 07 12:00:00 AM,8.0,,,8,True,True,Douglas,"106 East 2nd South Street, Arcola, IL"
Arbor Rose of Charleston,1911 18th Street,Charleston,IL,61920,2175122814,5107013,2019 Apr 30 12:00:00 AM,2020 Nov 19 12:00:00 AM,12.0,,,12,True,True,Coles,"1911 18th Street, Charleston, IL"
Arbor Rose of Monticello,1009 South Irving,Monticello,IL,61856,2176006101,5201626,2018 Nov 30 12:00:00 AM,2020 Nov 30 12:00:00 AM,8.0,,,8,True,True,Piatt,"1009 South Irving, Monticello, IL"
Arbor Rose of Robinson,500 S. Reed Street,Robinson,nan,62454,6184691244,5107039,2019 May 01 12:00:00 AM,2019 Nov 26 12:00:00 AM,13.0,,,13,True,True,Crawford,"500 S. Reed Street, Robinson, IL"
Arbor Rose of Tolono,503 S. Bourne St,Tolono,IL,61880,2174853030,5107021,2019 May 01 12:00:00 AM,2020 Nov 18 12:00:00 AM,13.0,,,13,True,True,Champaign,"503 S. Bourne St, Tolono, IL"
Arbor Terrace Naperville,2920 Levernez,Naperville,IL,60564,6308350030,5106395,2018 Jul 30 12:00:00 AM,2019 Jul 30 12:00:00 AM,47.0,37.0,11.0,95,True,False,Will,"2920 Levernez, Naperville, IL"
Arboria of Long Grove LLC,2300 IL Route 53,Long Grove,IL,60047,8473836737,5105835,2019 Jan 16 12:00:00 AM,2019 Aug 27 12:00:00 AM,44.0,60.0,,104,True,False,Lake,"2300 IL Route 53, Long Grove, IL"
"Arbors at Adams Pointe, The",201 North 48th Street,Quincy,nan,62305,2172286494,5104754,2018 Dec 20 12:00:00 AM,2019 Dec 20 12:00:00 AM,16.0,,,16,True,True,Adams,"201 North 48th Street, Quincy, IL"
"Arbors at Centennial Pointe, The",3430 Hedley Road,Springfield,nan,62712,2175469016,5105132,2018 Nov 14 12:00:00 AM,2019 Nov 14 12:00:00 AM,16.0,,,16,True,True,Sangamon,"3430 Hedley Road, Springfield, IL"
Arbors at Parkway Gardens (The),375 Fountains Parkway,Fairview Heights,IL,62208,6186221988,5106221,2019 Jan 27 12:00:00 AM,2020 Jan 27 12:00:00 AM,16.0,,,16,True,True,St Clair,"375 Fountains Parkway, Fairview Heights, IL"
Artis Senior Living of Bartlett,1035 South Route 59,Bartlett,IL,60103,6308555939,5106437,2018 Dec 01 12:00:00 AM,2019 Dec 01 12:00:00 AM,64.0,,,64,False,False,Dupage,"1035 South Route 59, Bartlett, IL"
Artis Senior Living of Elmhurst,123 West Brush Hill Road,Elmhurst,IL,60126,6303593113,5106155,2018 May 11 12:00:00 AM,2019 May 11 12:00:00 AM,72.0,,,72,True,False,Dupage,"123 West Brush Hill Road, Elmhurst, IL"
Artis Senior Living of Lakeview,3535 North Ashland Avenue,Chicago,IL,60657,7736979003,5106866,2019 Mar 20 12:00:00 AM,2019 Jul 20 12:00:00 AM,96.0,40.0,,136,True,False,Cook,"3535 North Ashland Avenue, Chicago, IL"
Asbury Court,1750 Elmhurst Road,Des Plaines,nan,60018,8472281500,5105058,2018 Sep 12 12:00:00 AM,2019 Sep 12 12:00:00 AM,,1.0,161.0,162,False,False,Cook,"1750 Elmhurst Road, Des Plaines, IL"
Aspen Creek of Sullivan,411 N. West Street,Sullivan,IL,61951,2177282092,5106999,2017 Dec 02 12:00:00 AM,2019 Dec 02 12:00:00 AM,18.0,,,18,True,False,Moultrie,"411 N. West Street, Sullivan, IL"
Aspen Creek of Troy,1924 SRA Bradley Smith Dr.,Troy,nan,62264,6186672003,5201238,2018 Oct 08 12:00:00 AM,2019 Oct 08 12:00:00 AM,12.0,,,12,True,False,Madison,"1924 SRA Bradley Smith Dr., Troy, IL"
Aspired Living of Prospect Heights,708 N. Elmhurst Rd,Prospect Heights,IL,60070,8478181808,5106700,2019 Jan 13 12:00:00 AM,2020 Jan 13 12:00:00 AM,32.0,69.0,,101,False,False,Cook,"708 N. Elmhurst Rd, Prospect Heights, IL"
Aspired Living of Westmont,407 West 63rd Street,Westmont,IL,60559,6309604400,5105850,2019 Jan 14 12:00:00 AM,2020 Jan 14 12:00:00 AM,34.0,73.0,,107,True,False,Dupage,"407 West 63rd Street, Westmont, IL"
Assisi HC Center at Clare Oaks,829 Carillon Dr.,Bartlett,IL,60103,6304834742,5102816,2018 Jul 04 12:00:00 AM,2019 Jul 04 12:00:00 AM,16.0,17.0,,33,True,True,Cook,"829 Carillon Dr., Bartlett, IL"
Assisted Living at Franciscan Village,11400 Theresa Drive,Lemont,nan,60439,6302433500,5104622,2019 Jan 14 12:00:00 AM,2021 Jan 14 12:00:00 AM,,34.0,,34,False,False,Cook,"11400 Theresa Drive, Lemont, IL"
Assisted Living at Silver Creek,1227 Winding Oaks Ln,Mascoutah,IL,62258,6185664100,5102634,2019 Feb 28 12:00:00 AM,2020 Feb 28 12:00:00 AM,,33.0,,33,False,False,St. Clair,"1227 Winding Oaks Ln, Mascoutah, IL"
Assisted Living at Victory Lakes,1065 Victory Dr,Lindenhurst,IL,60046,8473564800,5102980,2018 Nov 12 12:00:00 AM,2019 Nov 12 12:00:00 AM,15.0,45.0,,60,True,False,Lake,"1065 Victory Dr, Lindenhurst, IL"
Atria at River Trail,370 N. Weber Road,Bolingbrook,IL,60440,3312536511,5106544,2019 Jan 12 12:00:00 AM,2020 Jan 12 12:00:00 AM,42.0,86.0,,128,True,False,Will,"370 N. Weber Road, Bolingbrook, IL"
Atria Park of Glen Ellyn,95 Carleton Avenue,Glen Ellyn,IL,60137,6304695555,5101248,2018 Aug 21 12:00:00 AM,2019 Aug 21 12:00:00 AM,20.0,65.0,,85,True,False,Dupage,"95 Carleton Avenue, Glen Ellyn, IL"
Atrium (The),2885 McFarland Road,Rockford,nan,61107,8152823340,5106460,2018 Oct 11 12:00:00 AM,2019 Oct 11 12:00:00 AM,40.0,,,40,True,False,Winnebago,"2885 McFarland Road, Rockford, IL"
"Autumn Accolade, Inc.",13516 Townline Rd,Green Valley,IL,61534,3093481548,5100125,2019 Jan 12 12:00:00 AM,2021 Jan 12 12:00:00 AM,,40.0,,40,False,False,Tazewell,"13516 Townline Rd, Green Valley, IL"
Autumn Fields Adult Community,325 E. Orange St.,Hoopeston,nan,60942,2172832120,5103897,2019 Jan 20 12:00:00 AM,2021 Jan 30 12:00:00 AM,,51.0,,51,False,False,Vermilion,"325 E. Orange St., Hoopeston, IL"
Autumn Fields of Savoy,65 East Airport Road,Savoy,nan,61874,2173551990,5104820,2019 Mar 19 12:00:00 AM,2020 Mar 19 12:00:00 AM,,46.0,,46,False,False,Champaign,"65 East Airport Road, Savoy, IL"
Autumn Fields of Tilton,316 E 14th St,Tilton,IL,61833,2176552255,5106668,2019 Jan 18 12:00:00 AM,2020 Jan 18 12:00:00 AM,,48.0,,48,False,False,Vermilion,"316 E 14th St, Tilton, IL"
Autumn Green at Midway Village,6700 S. Keating,Chicago,nan,60629,7735822888,5103996,2018 Sep 11 12:00:00 AM,2019 Sep 11 12:00:00 AM,,24.0,20.0,44,False,False,Cook,"6700 S. Keating, Chicago, IL"
Autumn Green at Wright Campus,4239 N. Oak Park Ave.,Chicago,nan,60634,7732023388,5103988,2018 Sep 11 12:00:00 AM,2019 Sep 11 12:00:00 AM,,25.0,20.0,45,False,False,Cook,"4239 N. Oak Park Ave., Chicago, IL"
Autumn Leaves of Arlington Heights,1625 S. Arlington Heights Rd,Arlington Heights,nan,60005,8477256700,5105165,2018 Sep 08 12:00:00 AM,2019 Sep 08 12:00:00 AM,42.0,,,42,True,False,Cook,"1625 S. Arlington Heights Rd, Arlington Heights, IL"
Autumn Leaves of Bolingbrook,351 Lily Cache Lane,Bolingbrook,IL,60440,6307590797,5104283,2019 Feb 20 12:00:00 AM,2020 Feb 20 12:00:00 AM,36.0,,,36,True,False,Dupage,"351 Lily Cache Lane, Bolingbrook, IL"
Autumn Leaves of Crystal Lake,495 Alexandra Blvd,Crystal Lake,IL,60014,8154597800,5102865,2018 Sep 12 12:00:00 AM,2019 Sep 12 12:00:00 AM,36.0,,,36,True,False,Mchenry,"495 Alexandra Blvd, Crystal Lake, IL"
Autumn Leaves of Gurnee,505 N. Hunt Club Road,Gurnee,nan,60031,8886628886,5105363,2018 Jul 17 12:00:00 AM,2019 Jul 17 12:00:00 AM,42.0,,,42,True,False,Lake,"505 N. Hunt Club Road, Gurnee, IL"
Autumn Leaves of Oswego,900 Douglas Rd.,Oswego,nan,60543,3314547540,5103962,2018 Jun 07 12:00:00 AM,2019 Jun 07 12:00:00 AM,40.0,,,40,True,True,Kendall,"900 Douglas Rd., Oswego, IL"
Autumn Leaves of South Barrington,215 Bartlett Road,South Barrington,nan,60010,8478441205,5104762,2018 Nov 18 12:00:00 AM,2019 Nov 18 12:00:00 AM,38.0,,,38,True,False,Cook,"215 Bartlett Road, South Barrington, IL"
Autumn Leaves of St. Charles,10 N. Peck St.,St. Charles,IL,60174,6304854510,5103970,2018 Jun 07 12:00:00 AM,2019 Jun 07 12:00:00 AM,40.0,,,40,True,True,Kane,"10 N. Peck St., St. Charles, IL"
Autumn Leaves of Vernon Hills,500 Atrium Dr,Vernon Hills,IL,60061,8479961000,5102949,2018 Dec 24 12:00:00 AM,2019 Dec 24 12:00:00 AM,36.0,,,36,True,False,Lake,"500 Atrium Dr, Vernon Hills, IL"
Avonlea Cottage #1/Quad Cities,2021 E. 1st St,Milan,IL,61264,3097560755,5100133,2019 Apr 10 12:00:00 AM,2020 Apr 10 12:00:00 AM,30.0,,,30,True,False,Rock Island,"2021 E. 1st St, Milan, IL"
Avonlea Cottage #2/Quad Cities,2025 E. 1st St,Milan,IL,61264,3097562257,5100141,2019 Apr 10 12:00:00 AM,2020 Apr 10 12:00:00 AM,,16.0,,16,False,False,Rock Island,"2025 E. 1st St, Milan, IL"
Avonlea Cottage of Dixon,503 Countryside Lane,Dixon,nan,61021,8152886044,5104838,2018 Jul 09 12:00:00 AM,2019 Jul 19 12:00:00 AM,16.0,,,16,True,False,Lee,"503 Countryside Lane, Dixon, IL"
Avonlea Cottage/Sterling,2201 E. LeFevre Rd,Sterling,IL,61081,8156265439,5100158,2018 Aug 09 12:00:00 AM,2019 Aug 09 12:00:00 AM,,30.0,,30,False,False,Whiteside,"2201 E. LeFevre Rd, Sterling, IL"
Axelson Assisted Living,2195 Foxglove Dr,Northbrook,IL,60062,8474806350,5102881,2018 Jul 03 12:00:00 AM,2019 Jul 03 12:00:00 AM,,58.0,,58,False,False,Cook,"2195 Foxglove Dr, Northbrook, IL"
Bell Tower Retirement LLC,430 Sidney Street,East Dubuque,nan,61025,8157476701,5104481,2018 Sep 13 12:00:00 AM,2019 May 15 12:00:00 AM,14.0,11.0,23.0,48,True,False,Jodaviess,"430 Sidney Street, East Dubuque, IL"
Belmont Village Buffalo Grove,500 McHenry Rd,Buffalo Grove,nan,60089,8475375000,5104242,2018 Mar 30 12:00:00 AM,2020 Mar 30 12:00:00 AM,46.0,70.0,,116,True,False,Lake,"500 McHenry Rd, Buffalo Grove, IL"
Benedale Ctr-Villa St. Benedict,1920 Maple Ave,Lisle,IL,60532,6307257000,5101396,2017 Oct 06 12:00:00 AM,2019 Oct 06 12:00:00 AM,14.0,51.0,,65,True,False,Dupage,"1920 Maple Ave, Lisle, IL"
Bethel Place-AZ Establishment,6901 N. Galena Rd,Peoria,IL,61614,3096899658,5100208,2018 Dec 29 12:00:00 AM,2020 Dec 29 12:00:00 AM,20.0,,,20,True,False,Peoria,"6901 N. Galena Rd, Peoria, IL"
Betty's Garden Memory Care,141 Acorn St South,Kewanee,IL,61443,3098839917,5106650,2019 Mar 16 12:00:00 AM,2020 Mar 16 12:00:00 AM,24.0,,,24,True,False,Henry,"141 Acorn St South, Kewanee, IL"
Bickford - Bloomington House,14 Heartland Dr,Bloomington,IL,61704,3096610094,5100240,2019 Apr 17 12:00:00 AM,2020 Apr 17 12:00:00 AM,16.0,,55.0,71,True,False,Mclean,"14 Heartland Dr, Bloomington, IL"
Bickford - Champaign Cottage,1002 S. Staley Rd,Champaign,IL,61822,2174031900,5100232,2018 Oct 04 12:00:00 AM,2019 Oct 04 12:00:00 AM,16.0,28.0,,44,True,False,Champaign,"1002 S. Staley Rd, Champaign, IL"
Bickford - Crystal Lake Cottage,717 McHenry Ave,Crystal Lake,IL,60014,8154774200,5102956,2019 May 14 12:00:00 AM,2020 May 14 12:00:00 AM,14.0,42.0,,56,True,True,Mchenry,"717 McHenry Ave, Crystal Lake, IL"
Bickford - Macomb Cottage,1600 Maple Ave,Macomb,IL,61455,3098369700,5100224,2017 Nov 16 12:00:00 AM,2019 Nov 16 12:00:00 AM,,28.0,,28,False,True,Mcdonough,"1600 Maple Ave, Macomb, IL"
Bickford - Moline Cottage,3650 41st St,Moline,IL,61265,3097360700,5101883,2019 Feb 03 12:00:00 AM,2020 Feb 03 12:00:00 AM,,28.0,,28,False,False,Rock Island,"3650 41st St, Moline, IL"
Bickford - Oswego Cottage,3712 Grove Rd,Oswego,IL,60543,6305548811,5102998,2018 May 14 12:00:00 AM,2019 May 14 12:00:00 AM,14.0,42.0,,56,True,False,Kendall,"3712 Grove Rd, Oswego, IL"
Bickford - Peoria I House,1920 W. Willow Knolls Dr,Peoria,IL,61614,3096895400,5100273,2018 Apr 19 12:00:00 AM,2019 Apr 19 12:00:00 AM,,,60.0,60,False,False,Peoria,"1920 W. Willow Knolls Dr, Peoria, IL"
Bickford - Peoria II Cottage,2000 W. Willow Knolls Dr.,Peoria,IL,61614,3095890800,5102469,2019 Apr 19 12:00:00 AM,2020 Apr 19 12:00:00 AM,32.0,,,32,True,True,Peoria,"2000 W. Willow Knolls Dr., Peoria, IL"
Bickford - Quincy Cottage,4221 Maine,Quincy,IL,62305,2172280800,5101909,2018 Oct 21 12:00:00 AM,2019 Oct 21 12:00:00 AM,7.0,39.0,,46,True,True,Adams,"4221 Maine, Quincy, IL"
Bickford - Rockford House,960 N. Mulford Rd,Rockford,IL,61107,8153977100,5100265,2018 Nov 11 12:00:00 AM,2019 Nov 11 12:00:00 AM,,,65.0,65,False,False,Winnebago,"960 N. Mulford Rd, Rockford, IL"
Bickford - Springfield House,2451 W. White Oak Dr,Springfield,IL,62704,2177879000,5101891,2018 Sep 07 12:00:00 AM,2019 Sep 07 12:00:00 AM,,,55.0,55,False,False,Sangamon,"2451 W. White Oak Dr, Springfield, IL"
Bickford Cottage - St. Charles,2875 Campton Hills Rd,St.Charles,IL,60175,6305878800,5103210,2017 Sep 09 12:00:00 AM,2019 Sep 09 12:00:00 AM,12.0,64.0,,76,True,False,Kane,"2875 Campton Hills Rd, St.Charles, IL"
Bickford of Aurora,7 South Orchard Road,Aurora,IL,60506,6306315555,5105934,2018 Sep 08 12:00:00 AM,2019 Sep 08 12:00:00 AM,16.0,44.0,,60,True,False,Kane,"7 South Orchard Road, Aurora, IL"
Bickford of Gurnee,301 S. Hunt Club Road,Gurnee,IL,60031,8472810780,5106270,2018 Apr 26 12:00:00 AM,2019 Apr 26 12:00:00 AM,16.0,44.0,,60,True,False,Lake,"301 S. Hunt Club Road, Gurnee, IL"
Bickford of Tinley Park,17301 80th Ave.,Tinley Park,nan,60477,7088455490,5105579,2018 Nov 22 12:00:00 AM,2019 Nov 22 12:00:00 AM,16.0,44.0,,60,True,False,Cook,"17301 80th Ave., Tinley Park, IL"
"Birches, LLC (The)",215 55th St,Clarendon Hills,IL,60514,6307891135,5100307,2019 Jan 16 12:00:00 AM,2020 Jan 16 12:00:00 AM,32.0,58.0,,90,True,False,Dupage,"215 55th St, Clarendon Hills, IL"
Blackberry Cottage,904-B Estates Drive,Jerseyville,nan,62052,6189209898,5201501,2018 Jul 08 12:00:00 AM,2019 Jul 08 12:00:00 AM,10.0,,,10,True,False,Jersey,"904-B Estates Drive, Jerseyville, IL"
Bourbonnais Bickford House,100 Jones Dr,Bourbonnais,IL,60914,8159369500,5100257,2018 May 16 12:00:00 AM,2020 May 16 12:00:00 AM,,,50.0,50,False,True,Kankakee,"100 Jones Dr, Bourbonnais, IL"
Bradford Place,1463 Benchmark Ct,Swansea,IL,62226,6186240683,5103483,2018 Jul 29 12:00:00 AM,2019 Jul 29 12:00:00 AM,8.0,31.0,,39,True,False,St Clair,"1463 Benchmark Ct, Swansea, IL"
Bradford Villa LLC-IV,1122 Koch's Lane,Quincy,nan,62305,2172283379,5201220,2018 Oct 01 12:00:00 AM,2020 Oct 01 12:00:00 AM,,8.0,,8,False,False,Adams,"1122 Koch's Lane, Quincy, IL"
"Bradford Villa, LLC-I",1122 Koch's Ln,Quincy,IL,62305,2172283379,5200362,2018 Oct 01 12:00:00 AM,2020 Oct 01 12:00:00 AM,,8.0,,8,False,False,Adams,"1122 Koch's Ln, Quincy, IL"
"Bradford Villa, LLC-II",1122 Koch's Ln,Quincy,IL,62305,2172283379,5200560,2018 Oct 01 12:00:00 AM,2020 Oct 01 12:00:00 AM,,8.0,,8,False,False,Adams,"1122 Koch's Ln, Quincy, IL"
"Bradford Villa, LLC-III",1122 Koch's Ln,Quincy,IL,62305,2172283379,5200693,2018 Oct 01 12:00:00 AM,2020 Oct 01 12:00:00 AM,,8.0,,8,False,False,Adams,"1122 Koch's Ln, Quincy, IL"
Bridgeway Assisted Living,303 East Washington Street,Bensenville,nan,60106,6307660605,5104978,2018 Apr 30 12:00:00 AM,2019 Apr 30 12:00:00 AM,17.0,10.0,130.0,157,True,False,Dupage,"303 East Washington Street, Bensenville, IL"
Bridle Brook Assisted Living,1505 Patton Drive,Mahomet,nan,61853,2175863200,5105355,2019 Jan 30 12:00:00 AM,2020 Jan 30 12:00:00 AM,30.0,48.0,,78,True,False,Champaign,"1505 Patton Drive, Mahomet, IL"
Bright Oaks of Aurora 1  (SMSK Aurora LLC),1340 River Street,Aurora,nan,60506,6308928800,5106874,2019 Mar 01 12:00:00 AM,2019 Jul 01 12:00:00 AM,24.0,36.0,,60,False,False,Kane,"1340 River Street, Aurora, IL"
Brightly Senior Living Mascoutah,649 Legacy Place,Mascoutah,IL,62258,6185660566,5106114,2018 Jul 01 12:00:00 AM,2019 Jul 01 12:00:00 AM,22.0,35.0,,57,True,False,St Clair,"649 Legacy Place, Mascoutah, IL"
Brighton Gardens of St. Charles,600 Dunham Rd,St. Charles,IL,60174,6305876120,5106809,2019 Apr 01 12:00:00 AM,2019 Aug 01 12:00:00 AM,39.0,65.0,,104,True,False,Kane,"600 Dunham Rd, St. Charles, IL"
Brighton Gardens of Wheaton,831 E. Butterfield Rd,Wheaton,IL,60189,6306811234,5106817,2019 Apr 01 12:00:00 AM,2019 Aug 01 12:00:00 AM,38.0,78.0,,116,True,False,Dupage,"831 E. Butterfield Rd, Wheaton, IL"
Brookdale Des Plaines,800 S River Rd,Des Plaines,IL,60016,8472940100,5101743,2018 Oct 15 12:00:00 AM,2019 Oct 15 12:00:00 AM,,29.0,46.0,75,False,False,Cook,"800 S River Rd, Des Plaines, IL"
Brookdale Glen Ellyn,60 N. Nicoll Way,Glen Ellyn,IL,60137,6304461600,5100976,2018 Aug 21 12:00:00 AM,2019 Aug 21 12:00:00 AM,,63.0,,63,False,False,Dupage,"60 N. Nicoll Way, Glen Ellyn, IL"
Brookdale Hawthorne Lakes AL,10 E. Hawthorne Pkwy,Vernon Hills,IL,60061,8473672516,5101768,2018 Oct 15 12:00:00 AM,2019 Oct 15 12:00:00 AM,,50.0,12.0,62,False,False,Lake,"10 E. Hawthorne Pkwy, Vernon Hills, IL"
Brookdale Hoffman Estates,1515 Barrington Rd,Hoffman Estates,IL,60169,8474905800,5101750,2018 Oct 15 12:00:00 AM,2020 Oct 15 12:00:00 AM,,,30.0,30,False,False,Cook,"1515 Barrington Rd, Hoffman Estates, IL"
Brookdale Lake Shore Drive,2960 N. Lake Shore,Chicago,IL,60657,7738802960,5102378,2019 Mar 21 12:00:00 AM,2020 Mar 21 12:00:00 AM,,20.0,50.0,70,False,False,Cook,"2960 N. Lake Shore, Chicago, IL"
Brookdale Lake View,3121 N. Sheridan Rd,Chicago,IL,60657,7734049800,5101776,2018 Oct 15 12:00:00 AM,2019 Oct 15 12:00:00 AM,,41.0,16.0,57,False,False,Cook,"3121 N. Sheridan Rd, Chicago, IL"
Brookdale Lisle AL,1700 Robin Ln,Lisle,IL,60532,6309631880,5101735,2018 Oct 15 12:00:00 AM,2019 Oct 15 12:00:00 AM,,56.0,8.0,64,False,False,Dupage,"1700 Robin Ln, Lisle, IL"
Brookdale Northbrook,4501 Concord Ln,Northbrook,IL,60062,8478037100,5101131,2018 Jul 08 12:00:00 AM,2019 Jul 08 12:00:00 AM,,44.0,26.0,70,False,False,Cook,"4501 Concord Ln, Northbrook, IL"
Brookdale Oak Park,1111 Ontario St,Oak Park,IL,60302,7083831111,5100786,2019 Feb 25 12:00:00 AM,2019 Aug 22 12:00:00 AM,,38.0,6.0,44,False,False,Cook,"1111 Ontario St, Oak Park, IL"
Brookdale Orland Park,16051 S. LaGrange Rd,Orland Park,IL,60467,7084032001,5103574,2019 Jan 06 12:00:00 AM,2019 Jul 06 12:00:00 AM,24.0,80.0,,104,True,False,Cook,"16051 S. LaGrange Rd, Orland Park, IL"
Brookdale Urbana,1706 E Amber Ln,Urbana,IL,61802,2173283150,5100349,2018 Oct 25 12:00:00 AM,2019 Apr 25 12:00:00 AM,20.0,71.0,,91,True,False,Champaign,"1706 E Amber Ln, Urbana, IL"
Brookdale Vernon Hills,145 N. Milwaukee Ave.,Vernon Hills,IL,60061,8477932470,5103798,2018 Dec 30 12:00:00 AM,2019 Dec 30 12:00:00 AM,,56.0,43.0,99,False,False,Lake,"145 N. Milwaukee Ave., Vernon Hills, IL"
Brookstone Estates of Charleston,300 Lincoln Highway,Charleston,nan,61920,2173486500,5105009,2018 Apr 19 12:00:00 AM,2019 Apr 19 12:00:00 AM,16.0,,,16,True,False,Coles,"300 Lincoln Highway, Charleston, IL"
Brookstone Estates of Olney,1110 North East Street,Olney,nan,62450,6183925870,5104994,2019 Apr 21 12:00:00 AM,2020 Apr 21 12:00:00 AM,,46.0,,46,False,False,Richland,"1110 North East Street, Olney, IL"
Burge House (The),424 N. Worthey Street,Flora,IL,62839,6186620931,5201774,2019 May 10 12:00:00 AM,2019 Nov 10 12:00:00 AM,,16.0,,16,False,False,Clay,"424 N. Worthey Street, Flora, IL"
"Caledonian House, The",2800 S Des Plaines Avenue,North Riverside,nan,60546,7084475092,5105496,2018 Dec 08 12:00:00 AM,2020 Dec 08 12:00:00 AM,20.0,,,20,True,False,Cook,"2800 S Des Plaines Avenue, North Riverside, IL"
Carriage Crossing Champaign,1701 Congressional Way,Champaign,nan,61822,2173038840,5105611,2018 Nov 05 12:00:00 AM,2020 Nov 05 12:00:00 AM,18.0,42.0,,60,True,False,Champaign,"1701 Congressional Way, Champaign, IL"
Carriage Crossing Senior Living,909 Green Mill Rd,Arcola,nan,61910,2172683516,5104366,2018 Aug 15 12:00:00 AM,2019 Aug 15 12:00:00 AM,14.0,42.0,,56,True,True,Douglas,"909 Green Mill Rd, Arcola, IL"
Carrington at Lincolnwood,3501 Northeast Parkway,Lincolnwood,IL,60712,8479736262,5106247,2018 Dec 20 12:00:00 AM,2019 Dec 20 12:00:00 AM,44.0,88.0,,132,True,False,Cook,"3501 Northeast Parkway, Lincolnwood, IL"
Casita Catherine AL,1510 N 10th St,Quincy,IL,62301,2172244850,5201725,2017 Oct 21 12:00:00 AM,2019 Oct 21 12:00:00 AM,,10.0,,10,False,False,Adams,"1510 N 10th St, Quincy, IL"
Cedar Lake Assisted Living & Memory Care,777 Church Street,Lake Zurich,nan,60047,8478474425,5105397,2019 Feb 01 12:00:00 AM,2020 Feb 01 12:00:00 AM,24.0,62.0,,86,True,False,Lake,"777 Church Street, Lake Zurich, IL"
Cedar Trails Senior Living,490 Urbana Drive,Freeburg,IL,62243,6185399190,5105983,2019 Apr 22 12:00:00 AM,2019 Dec 19 12:00:00 AM,16.0,45.0,,61,False,False,St Clair,"490 Urbana Drive, Freeburg, IL"
Cedarhurst of Bethalto,903 North Moreland Road,Bethalto,IL,62010,6183910335,5106171,2018 May 25 12:00:00 AM,2019 May 25 12:00:00 AM,18.0,50.0,,68,True,False,Madison,"903 North Moreland Road, Bethalto, IL"
Cedarhurst of Breese,13887 Progress Drive,Breese,IL,62230,6185269600,5106346,2018 Jun 14 12:00:00 AM,2019 Jun 14 12:00:00 AM,16.0,41.0,,57,True,False,Clinton,"13887 Progress Drive, Breese, IL"
