"Est Name","Address","City","State","Zip","Phone","License Number","Issued","Expires","AZ","Reg","FL","Total","Alzheimer","Adult Day","County"
"Arbors at Parkway Gardens (The)","375 Fountains Parkway","Fairview Heights","IL","62208","6186221988","5106221","2019 Jan 27 12:00:00 AM","2020 Jan 27 12:00:00 AM","16",,,"16","true","true","St Clair"
"Artis Senior Living of Bartlett","1035 South Route 59","Bartlett","IL","60103","6308555939","5106437","2018 Dec 01 12:00:00 AM","2019 Dec 01 12:00:00 AM","64",,,"64","false","false","DuPage"
"Artis Senior Living of Elmhurst","123 West Brush Hill Road","Elmhurst","IL","60126","6303593113","5106155","2018 May 11 12:00:00 AM","2019 May 11 12:00:00 AM","72",,,"72","true","false","DuPage"
"Artis Senior Living of Lakeview","3535 North Ashland Avenue","Chicago","IL","60657","7736979003","5106866","2019 Mar 20 12:00:00 AM","2019 Jul 20 12:00:00 AM","96","40",,"136","true","false","Cook"
"Asbury Court","1750 Elmhurst Road","Des Plaines",,"60018","8472281500","5105058","2018 Sep 12 12:00:00 AM","2019 Sep 12 12:00:00 AM",,"1","161","162","false","false","Cook"
"Aspen Creek of Sullivan","411 N. West Street","Sullivan","IL","61951","2177282092","5106999","2017 Dec 02 12:00:00 AM","2019 Dec 02 12:00:00 AM","18",,,"18","true","false","Moultrie"
"Aspen Creek of Troy","1924 SRA Bradley Smith Dr.","Troy",,"62264","6186672003","5201238","2018 Oct 08 12:00:00 AM","2019 Oct 08 12:00:00 AM","12",,,"12","true","false","Madison"
"Aspired Living of Prospect Heights","708 N. Elmhurst Rd","Prospect Heights","IL","60070","8478181808","5106700","2019 Jan 13 12:00:00 AM","2020 Jan 13 12:00:00 AM","32","69",,"101","false","false","Cook"
"Aspired Living of Westmont","407 West 63rd Street","Westmont","IL","60559","6309604400","5105850","2019 Jan 14 12:00:00 AM","2020 Jan 14 12:00:00 AM","34","73",,"107","true","false","DuPage"
"Assisi HC Center at Clare Oaks","829 Carillon Dr.","Bartlett","IL","60103","6304834742","5102816","2018 Jul 04 12:00:00 AM","2019 Jul 04 12:00:00 AM","16","17",,"33","true","true","Cook"
"Assisted Living at Franciscan Village","11400 Theresa Drive","Lemont",,"60439","6302433500","5104622","2019 Jan 14 12:00:00 AM","2021 Jan 14 12:00:00 AM",,"34",,"34","false","false","Cook"
"Assisted Living at Silver Creek","1227 Winding Oaks Ln","Mascoutah","IL","62258","6185664100","5102634","2019 Feb 28 12:00:00 AM","2020 Feb 28 12:00:00 AM",,"33",,"33","false","false","St. Clair"
"Assisted Living at Victory Lakes","1065 Victory Dr","Lindenhurst","IL","60046","8473564800","5102980","2018 Nov 12 12:00:00 AM","2019 Nov 12 12:00:00 AM","15","45",,"60","true","false","Lake"
"Atria at River Trail","370 N. Weber Road","Bolingbrook","IL","60440","3312536511","5106544","2019 Jan 12 12:00:00 AM","2020 Jan 12 12:00:00 AM","42","86",,"128","true","false","Will"
"Atria Park of Glen Ellyn","95 Carleton Avenue","Glen Ellyn","IL","60137","6304695555","5101248","2018 Aug 21 12:00:00 AM","2019 Aug 21 12:00:00 AM","20","65",,"85","true","false","DuPage"
"Atrium (The)","2885 McFarland Road","Rockford",,"61107","8152823340","5106460","2018 Oct 11 12:00:00 AM","2019 Oct 11 12:00:00 AM","40",,,"40","true","false","Winnebago"
"Autumn Accolade, Inc.","13516 Townline Rd","Green Valley","IL","61534","3093481548","5100125","2019 Jan 12 12:00:00 AM","2021 Jan 12 12:00:00 AM",,"40",,"40","false","false","Tazewell"
"Autumn Fields Adult Community","325 E. Orange St.","Hoopeston",,"60942","2172832120","5103897","2019 Jan 20 12:00:00 AM","2021 Jan 30 12:00:00 AM",,"51",,"51","false","false","Vermilion"
"Autumn Fields of Savoy","65 East Airport Road","Savoy",,"61874","2173551990","5104820","2019 Mar 19 12:00:00 AM","2020 Mar 19 12:00:00 AM",,"46",,"46","false","false","Champaign"
"Autumn Fields of Tilton","316 E 14th St","Tilton","IL","61833","2176552255","5106668","2019 Jan 18 12:00:00 AM","2020 Jan 18 12:00:00 AM",,"48",,"48","false","false","Vermilion"
"Autumn Green at Midway Village","6700 S. Keating","Chicago",,"60629","7735822888","5103996","2018 Sep 11 12:00:00 AM","2019 Sep 11 12:00:00 AM",,"24","20","44","false","false","Cook"
"Autumn Green at Wright Campus","4239 N. Oak Park Ave.","Chicago",,"60634","7732023388","5103988","2018 Sep 11 12:00:00 AM","2019 Sep 11 12:00:00 AM",,"25","20","45","false","false","Cook"
"Autumn Leaves of Arlington Heights","1625 S. Arlington Heights Rd","Arlington Heights",,"60005","8477256700","5105165","2018 Sep 08 12:00:00 AM","2019 Sep 08 12:00:00 AM","42",,,"42","true","false","Cook"
"Autumn Leaves of Bolingbrook","351 Lily Cache Lane","Bolingbrook","IL","60440","6307590797","5104283","2019 Feb 20 12:00:00 AM","2020 Feb 20 12:00:00 AM","36",,,"36","true","false","DuPage"
"Autumn Leaves of Crystal Lake","495 Alexandra Blvd","Crystal Lake","IL","60014","8154597800","5102865","2018 Sep 12 12:00:00 AM","2019 Sep 12 12:00:00 AM","36",,,"36","true","false","McHenry"
"Autumn Leaves of Gurnee","505 N. Hunt Club Road","Gurnee",,"60031","8886628886","5105363","2018 Jul 17 12:00:00 AM","2019 Jul 17 12:00:00 AM","42",,,"42","true","false","Lake"
"Autumn Leaves of Oswego","900 Douglas Rd.","Oswego",,"60543","3314547540","5103962","2018 Jun 07 12:00:00 AM","2019 Jun 07 12:00:00 AM","40",,,"40","true","true","Kendall"
"Autumn Leaves of South Barrington","215 Bartlett Road","South Barrington",,"60010","8478441205","5104762","2018 Nov 18 12:00:00 AM","2019 Nov 18 12:00:00 AM","38",,,"38","true","false","Cook"
"Autumn Leaves of St. Charles","10 N. Peck St.","St. Charles","IL","60174","6304854510","5103970","2018 Jun 07 12:00:00 AM","2019 Jun 07 12:00:00 AM","40",,,"40","true","true","Kane"
"Autumn Leaves of Vernon Hills","500 Atrium Dr","Vernon Hills","IL","60061","8479961000","5102949","2018 Dec 24 12:00:00 AM","2019 Dec 24 12:00:00 AM","36",,,"36","true","false","Lake"
"Avonlea Cottage #1/Quad Cities","2021 E. 1st St","Milan","IL","61264","3097560755","5100133","2019 Apr 10 12:00:00 AM","2020 Apr 10 12:00:00 AM","30",,,"30","true","false","Rock Island"
"Avonlea Cottage #2/Quad Cities","2025 E. 1st St","Milan","IL","61264","3097562257","5100141","2019 Apr 10 12:00:00 AM","2020 Apr 10 12:00:00 AM",,"16",,"16","false","false","Rock Island"
"Avonlea Cottage of Dixon","503 Countryside Lane","Dixon",,"61021","8152886044","5104838","2018 Jul 09 12:00:00 AM","2019 Jul 19 12:00:00 AM","16",,,"16","true","false","Lee"
"Avonlea Cottage/Sterling","2201 E. LeFevre Rd","Sterling","IL","61081","8156265439","5100158","2018 Aug 09 12:00:00 AM","2019 Aug 09 12:00:00 AM",,"30",,"30","false","false","Whiteside"
"Axelson Assisted Living","2195 Foxglove Dr","Northbrook","IL","60062","8474806350","5102881","2018 Jul 03 12:00:00 AM","2019 Jul 03 12:00:00 AM",,"58",,"58","false","false","Cook"
"Bell Tower Retirement LLC","430 Sidney Street","East Dubuque",,"61025","8157476701","5104481","2018 Sep 13 12:00:00 AM","2019 May 15 12:00:00 AM","14","11","23","48","true","false","JoDaviess"
"Belmont Village Buffalo Grove","500 McHenry Rd","Buffalo Grove",,"60089","8475375000","5104242","2018 Mar 30 12:00:00 AM","2020 Mar 30 12:00:00 AM","46","70",,"116","true","false","Lake"
"Benedale Ctr-Villa St. Benedict","1920 Maple Ave","Lisle","IL","60532","6307257000","5101396","2017 Oct 06 12:00:00 AM","2019 Oct 06 12:00:00 AM","14","51",,"65","true","false","DuPage"
"Bethel Place-AZ Establishment","6901 N. Galena Rd","Peoria","IL","61614","3096899658","5100208","2018 Dec 29 12:00:00 AM","2020 Dec 29 12:00:00 AM","20",,,"20","true","false","Peoria"
"Betty's Garden Memory Care","141 Acorn St South","Kewanee","IL","61443","3098839917","5106650","2019 Mar 16 12:00:00 AM","2020 Mar 16 12:00:00 AM","24",,,"24","true","false","Henry"
"Bickford - Bloomington House","14 Heartland Dr","Bloomington","IL","61704","3096610094","5100240","2019 Apr 17 12:00:00 AM","2020 Apr 17 12:00:00 AM","16",,"55","71","true","false","McLean"
"Bickford - Champaign Cottage","1002 S. Staley Rd","Champaign","IL","61822","2174031900","5100232","2018 Oct 04 12:00:00 AM","2019 Oct 04 12:00:00 AM","16","28",,"44","true","false","Champaign"
"Bickford - Crystal Lake Cottage","717 McHenry Ave","Crystal Lake","IL","60014","8154774200","5102956","2019 May 14 12:00:00 AM","2020 May 14 12:00:00 AM","14","42",,"56","true","true","McHenry"
"Bickford - Macomb Cottage","1600 Maple Ave","Macomb","IL","61455","3098369700","5100224","2017 Nov 16 12:00:00 AM","2019 Nov 16 12:00:00 AM",,"28",,"28","false","true","McDonough"
"Bickford - Moline Cottage","3650 41st St","Moline","IL","61265","3097360700","5101883","2019 Feb 03 12:00:00 AM","2020 Feb 03 12:00:00 AM",,"28",,"28","false","false","Rock Island"
"Bickford - Oswego Cottage","3712 Grove Rd","Oswego","IL","60543","6305548811","5102998","2018 May 14 12:00:00 AM","2019 May 14 12:00:00 AM","14","42",,"56","true","false","Kendall"
"Bickford - Peoria I House","1920 W. Willow Knolls Dr","Peoria","IL","61614","3096895400","5100273","2018 Apr 19 12:00:00 AM","2019 Apr 19 12:00:00 AM",,,"60","60","false","false","Peoria"
"Bickford - Peoria II Cottage","2000 W. Willow Knolls Dr.","Peoria","IL","61614","3095890800","5102469","2019 Apr 19 12:00:00 AM","2020 Apr 19 12:00:00 AM","32",,,"32","true","true","Peoria"
"Bickford - Quincy Cottage","4221 Maine","Quincy","IL","62305","2172280800","5101909","2018 Oct 21 12:00:00 AM","2019 Oct 21 12:00:00 AM","7","39",,"46","true","true","Adams"
"Bickford - Rockford House","960 N. Mulford Rd","Rockford","IL","61107","8153977100","5100265","2018 Nov 11 12:00:00 AM","2019 Nov 11 12:00:00 AM",,,"65","65","false","false","Winnebago"
"Bickford - Springfield House","2451 W. White Oak Dr","Springfield","IL","62704","2177879000","5101891","2018 Sep 07 12:00:00 AM","2019 Sep 07 12:00:00 AM",,,"55","55","false","false","Sangamon"
"Bickford Cottage - St. Charles","2875 Campton Hills Rd","St.Charles","IL","60175","6305878800","5103210","2017 Sep 09 12:00:00 AM","2019 Sep 09 12:00:00 AM","12","64",,"76","true","false","Kane"
"Bickford of Aurora","7 South Orchard Road","Aurora","IL","60506","6306315555","5105934","2018 Sep 08 12:00:00 AM","2019 Sep 08 12:00:00 AM","16","44",,"60","true","false","Kane"
"Bickford of Gurnee","301 S. Hunt Club Road","Gurnee","IL","60031","8472810780","5106270","2018 Apr 26 12:00:00 AM","2019 Apr 26 12:00:00 AM","16","44",,"60","true","false","Lake"
"Bickford of Tinley Park","17301 80th Ave.","Tinley Park",,"60477","7088455490","5105579","2018 Nov 22 12:00:00 AM","2019 Nov 22 12:00:00 AM","16","44",,"60","true","false","Cook"
"Birches, LLC (The)","215 55th St","Clarendon Hills","IL","60514","6307891135","5100307","2019 Jan 16 12:00:00 AM","2020 Jan 16 12:00:00 AM","32","58",,"90","true","false","DuPage"
"Blackberry Cottage","904-B Estates Drive","Jerseyville",,"62052","6189209898","5201501","2018 Jul 08 12:00:00 AM","2019 Jul 08 12:00:00 AM","10",,,"10","true","false","Jersey"
"Bourbonnais Bickford House","100 Jones Dr","Bourbonnais","IL","60914","8159369500","5100257","2018 May 16 12:00:00 AM","2020 May 16 12:00:00 AM",,,"50","50","false","true","Kankakee"
"Bradford Place","1463 Benchmark Ct","Swansea","IL","62226","6186240683","5103483","2018 Jul 29 12:00:00 AM","2019 Jul 29 12:00:00 AM","8","31",,"39","true","false","St Clair"
"Bradford Villa LLC-IV","1122 Koch's Lane","Quincy",,"62305","2172283379","5201220","2018 Oct 01 12:00:00 AM","2020 Oct 01 12:00:00 AM",,"8",,"8","false","false","Adams"
"Bradford Villa, LLC-I","1122 Koch's Ln","Quincy","IL","62305","2172283379","5200362","2018 Oct 01 12:00:00 AM","2020 Oct 01 12:00:00 AM",,"8",,"8","false","false","Adams"
"Bradford Villa, LLC-II","1122 Koch's Ln","Quincy","IL","62305","2172283379","5200560","2018 Oct 01 12:00:00 AM","2020 Oct 01 12:00:00 AM",,"8",,"8","false","false","Adams"
"Bradford Villa, LLC-III","1122 Koch's Ln","Quincy","IL","62305","2172283379","5200693","2018 Oct 01 12:00:00 AM","2020 Oct 01 12:00:00 AM",,"8",,"8","false","false","Adams"
"Bridgeway Assisted Living","303 East Washington Street","Bensenville",,"60106","6307660605","5104978","2018 Apr 30 12:00:00 AM","2019 Apr 30 12:00:00 AM","17","10","130","157","true","false","DuPage"
"Bridle Brook Assisted Living","1505 Patton Drive","Mahomet",,"61853","2175863200","5105355","2019 Jan 30 12:00:00 AM","2020 Jan 30 12:00:00 AM","30","48",,"78","true","false","Champaign"
"Bright Oaks of Aurora 1  (SMSK Aurora LLC)","1340 River Street","Aurora",,"60506","6308928800","5106874","2019 Mar 01 12:00:00 AM","2019 Jul 01 12:00:00 AM","24","36",,"60","false","false","Kane"
"Brightly Senior Living Mascoutah","649 Legacy Place","Mascoutah","IL","62258","6185660566","5106114","2018 Jul 01 12:00:00 AM","2019 Jul 01 12:00:00 AM","22","35",,"57","true","false","St Clair"
"Brighton Gardens of St. Charles","600 Dunham Rd","St. Charles","IL","60174","6305876120","5106809","2019 Apr 01 12:00:00 AM","2019 Aug 01 12:00:00 AM","39","65",,"104","true","false","Kane"
"Brighton Gardens of Wheaton","831 E. Butterfield Rd","Wheaton","IL","60189","6306811234","5106817","2019 Apr 01 12:00:00 AM","2019 Aug 01 12:00:00 AM","38","78",,"116","true","false","DuPage"
"Brookdale Des Plaines","800 S River Rd","Des Plaines","IL","60016","8472940100","5101743","2018 Oct 15 12:00:00 AM","2019 Oct 15 12:00:00 AM",,"29","46","75","false","false","Cook"
"Brookdale Glen Ellyn","60 N. Nicoll Way","Glen Ellyn","IL","60137","6304461600","5100976","2018 Aug 21 12:00:00 AM","2019 Aug 21 12:00:00 AM",,"63",,"63","false","false","DuPage"
"Brookdale Hawthorne Lakes AL","10 E. Hawthorne Pkwy","Vernon Hills","IL","60061","8473672516","5101768","2018 Oct 15 12:00:00 AM","2019 Oct 15 12:00:00 AM",,"50","12","62","false","false","Lake"
"Brookdale Hoffman Estates","1515 Barrington Rd","Hoffman Estates","IL","60169","8474905800","5101750","2018 Oct 15 12:00:00 AM","2020 Oct 15 12:00:00 AM",,,"30","30","false","false","Cook"
"Brookdale Lake Shore Drive","2960 N. Lake Shore","Chicago","IL","60657","7738802960","5102378","2019 Mar 21 12:00:00 AM","2020 Mar 21 12:00:00 AM",,"20","50","70","false","false","Cook"
"Brookdale Lake View","3121 N. Sheridan Rd","Chicago","IL","60657","7734049800","5101776","2018 Oct 15 12:00:00 AM","2019 Oct 15 12:00:00 AM",,"41","16","57","false","false","Cook"
"Brookdale Lisle AL","1700 Robin Ln","Lisle","IL","60532","6309631880","5101735","2018 Oct 15 12:00:00 AM","2019 Oct 15 12:00:00 AM",,"56","8","64","false","false","DuPage"
"Brookdale Northbrook","4501 Concord Ln","Northbrook","IL","60062","8478037100","5101131","2018 Jul 08 12:00:00 AM","2019 Jul 08 12:00:00 AM",,"44","26","70","false","false","Cook"
"Brookdale Oak Park","1111 Ontario St","Oak Park","IL","60302","7083831111","5100786","2019 Feb 25 12:00:00 AM","2019 Aug 22 12:00:00 AM",,"38","6","44","false","false","Cook"
"Brookdale Orland Park","16051 S. LaGrange Rd","Orland Park","IL","60467","7084032001","5103574","2019 Jan 06 12:00:00 AM","2019 Jul 06 12:00:00 AM","24","80",,"104","true","false","Cook"
"Brookdale Urbana","1706 E Amber Ln","Urbana","IL","61802","2173283150","5100349","2018 Oct 25 12:00:00 AM","2019 Apr 25 12:00:00 AM","20","71",,"91","true","false","Champaign"
"Brookdale Vernon Hills","145 N. Milwaukee Ave.","Vernon Hills","IL","60061","8477932470","5103798","2018 Dec 30 12:00:00 AM","2019 Dec 30 12:00:00 AM",,"56","43","99","false","false","Lake"
"Brookstone Estates of Charleston","300 Lincoln Highway","Charleston",,"61920","2173486500","5105009","2018 Apr 19 12:00:00 AM","2019 Apr 19 12:00:00 AM","16",,,"16","true","false","Coles"
"Brookstone Estates of Olney","1110 North East Street","Olney",,"62450","6183925870","5104994","2019 Apr 21 12:00:00 AM","2020 Apr 21 12:00:00 AM",,"46",,"46","false","false","Richland"
"Burge House (The)","424 N. Worthey Street","Flora","IL","62839","6186620931","5201774","2019 May 10 12:00:00 AM","2019 Nov 10 12:00:00 AM",,"16",,"16","false","false","Clay"
"Caledonian House, The","2800 S Des Plaines Avenue","North Riverside",,"60546","7084475092","5105496","2018 Dec 08 12:00:00 AM","2020 Dec 08 12:00:00 AM","20",,,"20","true","false","Cook"
"Carriage Crossing Champaign","1701 Congressional Way","Champaign",,"61822","2173038840","5105611","2018 Nov 05 12:00:00 AM","2020 Nov 05 12:00:00 AM","18","42",,"60","true","false","Champaign"
"Carriage Crossing Senior Living","909 Green Mill Rd","Arcola",,"61910","2172683516","5104366","2018 Aug 15 12:00:00 AM","2019 Aug 15 12:00:00 AM","14","42",,"56","true","true","Douglas"
"Carrington at Lincolnwood","3501 Northeast Parkway","Lincolnwood","IL","60712","8479736262","5106247","2018 Dec 20 12:00:00 AM","2019 Dec 20 12:00:00 AM","44","88",,"132","true","false","Cook"
"Casita Catherine AL","1510 N 10th St","Quincy","IL","62301","2172244850","5201725","2017 Oct 21 12:00:00 AM","2019 Oct 21 12:00:00 AM",,"10",,"10","false","false","Adams"
"Cedar Lake Assisted Living & Memory Care","777 Church Street","Lake Zurich",,"60047","8478474425","5105397","2019 Feb 01 12:00:00 AM","2020 Feb 01 12:00:00 AM","24","62",,"86","true","false","Lake"
"Cedar Trails Senior Living","490 Urbana Drive","Freeburg","IL","62243","6185399190","5105983","2019 Apr 22 12:00:00 AM","2019 Dec 19 12:00:00 AM","16","45",,"61","false","false","St Clair"
"Cedarhurst of Bethalto","903 North Moreland Road","Bethalto","IL","62010","6183910335","5106171","2018 May 25 12:00:00 AM","2019 May 25 12:00:00 AM","18","50",,"68","true","false","Madison"
"Cedarhurst of Breese","13887 Progress Drive","Breese","IL","62230","6185269600","5106346","2018 Jun 14 12:00:00 AM","2019 Jun 14 12:00:00 AM","16","41",,"57","true","false","Clinton"
"Cedarhurst of Centralia","1827 E. Mc Cord","Centralia","IL","62801","6189183764","5101630","2019 Mar 22 12:00:00 AM","2020 Mar 22 12:00:00 AM","16",,,"16","true","false","Marion"
"Cedarhurst of Collinsville","1207 Vandalia Avenue","Collinsville",,"62234","6183430800","5105330","2019 Jan 01 12:00:00 AM","2020 Jan 01 12:00:00 AM","15","51",,"66","true","false","Madison"
"Cedarhurst of Edwardsville","7108 Marine Road","Edwardsville",,"62025","6186599112","5104606","2018 Aug 02 12:00:00 AM","2020 Aug 02 12:00:00 AM","54",,,"54","true","false","Madison"
"Cedarhurst of Godfrey","1000 Airport Rd","Godfrey","IL","62035","6184668831","5106890","2019 Apr 01 12:00:00 AM","2019 Aug 01 12:00:00 AM",,"63",,"63","false","false","Madison"
"Cedarhurst of Granite City","3450 Village Ln","Granite City","IL","62040","6189313988","5106882","2019 Apr 01 12:00:00 AM","2019 Aug 01 12:00:00 AM",,"72",,"72","false","false","Madison"
"Cedarhurst of Greenville","1200 E. Harris Avenue","Greenville","IL","62246","6186900116","5105942","2018 Nov 24 12:00:00 AM","2019 Nov 24 12:00:00 AM","16",,,"16","true","false","Bond"
"Cedarhurst of Highland","220 Field Crossing Dr.","Highland","IL","62249","6186543737","5106338","2018 Jun 14 12:00:00 AM","2019 Jun 14 12:00:00 AM","5","52",,"57","true","false","Madison"
"Cedarhurst of Jacksonville","2225 W. Morton Ave","Jacksonville",,"62650","2172452996","5105652","2019 Jan 06 12:00:00 AM","2020 Jan 06 12:00:00 AM","18","50",,"68","true","false","Morgan"
"Cedarhurst of Naperville","3333 75th Street","Woodridge","IL","60517","6303134992","5106189","2018 Jul 13 12:00:00 AM","2019 Jul 13 12:00:00 AM","24","85",,"109","true","false","DuPage"
"Cedarhurst of Quincy","319 S. 48th Street","Quincy","IL","62305","2177426067","5106825","2019 Mar 27 12:00:00 AM","2019 Jul 27 12:00:00 AM","56",,,"56","true","false","Adams"
"Cedarhurst of Shiloh, LLC","429 S. Main St","Shiloh","IL","62269","6186229890","5103558","2019 Feb 28 12:00:00 AM","2020 Feb 28 12:00:00 AM","31","56",,"87","true","false","St. Clair"
"Cedarhurst of Sparta","211 N. Market Street","Sparta",,"62286","6184432600","5104713","2018 May 30 12:00:00 AM","2019 May 30 12:00:00 AM",,"50",,"50","false","false","Randolph"
"Cedarhurst of Sparta Memory Care","217 N Market St","Sparta","IL","62286","3148842000","5106205","2018 May 30 12:00:00 AM","2019 May 30 12:00:00 AM","16",,,"16","true","false","Randolph"
"Cedarhurst of Waterloo","526 Legacy Drive","Waterloo",,"62298","6189394030","5106320","2018 Jun 14 12:00:00 AM","2019 Jun 14 12:00:00 AM",,"56",,"56","false","false","Monroe"
"Cedarhurst of Waterloo MC","518 Legacy Drive","Waterloo","IL","62298","6189394344","5106353","2018 Jun 14 12:00:00 AM","2019 Jun 14 12:00:00 AM","30",,,"30","true","false","Monroe"
"Cedarhurst of Yorkville","4040 Cannonball Trail","Yorkville","IL","60560","6303828725","5106833","2019 May 01 12:00:00 AM","2019 Sep 01 12:00:00 AM","20","53",,"73","true","false","Kendall"
"Centennial Pointe Assisted Living","3440 Hedley Road","Springfield",,"62712","2175469301","5105124","2018 Nov 14 12:00:00 AM","2019 Nov 14 12:00:00 AM",,"28",,"28","false","true","Sangamon"
"Central Baptist Village","4747 N Canfield Ave","Norridge","IL","60706","7085838500","5100364","2018 May 15 12:00:00 AM","2020 May 15 12:00:00 AM",,"96",,"96","false","false","Cook"
"Century Assisted Living I","701 South Lewis Lane","Carbondale","IL","62901","6185499898","5200867","2018 Apr 14 12:00:00 AM","2019 Apr 14 12:00:00 AM","12",,,"12","true","false","Jackson"
"Century Assisted Living II","703 Lewis Lane","Carbondale","IL","62901","6185499898","5200875","2018 Apr 14 12:00:00 AM","2019 Apr 14 12:00:00 AM","14",,,"14","true","false","Jackson"
"Charter Senior Living of Glen Ellyn","190 Geneva Road","Glen Ellyn",,"60137","6309090101","5107005","2019 Apr 01 12:00:00 AM","2019 Aug 01 12:00:00 AM","44",,,"44","true","false","DuPage"
"Cherryvale Place","1545 Temple Lane","Rockford",,"61112","8153328484","5105686","2018 Dec 31 12:00:00 AM","2019 Dec 31 12:00:00 AM","22","71","4","97","true","false","Winnebago"
"Christian Garden Villa I","3406 W. Washington St","Springfield","IL","62711","2177879600","5200925","2017 Mar 31 12:00:00 AM","2019 Mar 31 12:00:00 AM",,"10",,"10","false","false","Sangamon"
"Christian Garden Villa II","3408 W. Washington St.","Springfield","IL","62711","2177879600","5201147","2017 Mar 31 12:00:00 AM","2019 Mar 31 12:00:00 AM",,"10",,"10","false","false","Sangamon"
"Church Creek","1250 W. Central Road","Arlington Heights",,"60005","8475063200","5104085","2018 Feb 28 12:00:00 AM","2019 Feb 28 12:00:00 AM","21","13",,"34","true","false","Cook"
